,0
jiu,1350231321768062976
sua,1350231326855725057
siyeon,1350216193823576064
handong,1350231420963336192
yoohyeon,1350201275296702471
dami,1350231296316989447
gahyeon,1350176858512490497
heejin,1350142358717927430
hyunjin,1347860920941293568
haseul,1350218099602165760
yeojin,1350216301118169088
vivi,1350231289937346562
kimlip,1350216775988883456
jinsoul,1350187001975369729
choerry,1350231293905219588
yves,1350133016857874432
chuu,1350231291715698688
gowon,1334165696440393731
oliviahye,1349944400789561344
